number 
1
1
1
1
1
1
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
3
3
3
3
3
3
3
3
3
4
4
4
4
4
4
4
4
4
5
5
5
5
5
5
5
5
6
6
6
7
7
7
7
7
8
8
8
8
8
8
9
9
10
10
10
10
10
11
12
12
12
14
14
14
14
14
14
15
15
15
16
16
16
16
16
16
16
17
17
23
25
26
27
27
28
30
31
32
32
33
33
33
34
34
34
35
35
37
38
39
39
40
41
43
44
44
46
47
47
48
50
50
51
51
52
54
56
56
58
58
59
62
63
63
64
65
65
