num,word,M1_1,M1_2,M2_1,M2_2,,,,,,,,,,
128,RANK,2,3,2,3,,,,,,,,,,
129,RAP,2,3,1,2,,,,,,,,,,
130,RASH,2,3,2,3,,,,,,,,,,
131,RING,1,2,1,2,,,,,,,,,,
132,RIP,2,3,1,3,,,,,,,,,,
133,ROAD,1,2,1,3,,,,,,,,,,
134,ROAM,2,3,2,3,,,,,,,,,,
135,ROCK,1,3,2,3,,,,,,,,,,
136,ROLL,2,3,1,2,,,,,,,,,,
137,ROSE,2,3,2,3,,,,,,,,,,
138,ROW,2,3,2,3,,,,,,,,,,
139,SACK,1,3,2,3,,,,,,,,,,
140,SAD,2,3,1,3,,,,,,,,,,
141,SAFE,2,3,1,3,,,,,,,,,,
142,SAGE,1,2,1,3,,,,,,,,,,
143,SAIL,1,2,2,3,,,,,,,,,,
144,SALT,2,3,2,3,,,,,,,,,,
145,SAUCE,1,3,2,3,,,,,,,,,,
146,SCALE,1,2,1,2,,,,,,,,,,
147,SCOOP,1,3,2,3,,,,,,,,,,
148,SCORE,2,3,1,2,,,,,,,,,,
149,SCOTCH,2,3,2,3,,,,,,,,,,
150,SCRAP,2,3,2,3,,,,,,,,,,
151,SCREEN,1,3,2,3,,,,,,,,,,
152,SCROLL,1,3,2,3,,,,,,,,,,
153,SCUM,2,3,1,3,,,,,,,,,,
154,SEED,2,3,1,2,,,,,,,,,,
155,SHADE,1,3,2,3,,,,,,,,,,
156,SHAG,1,2,2,3,,,,,,,,,,
157,SHAPE,1,2,2,3,,,,,,,,,,
158,SHARP,1,2,1,2,,,,,,,,,,
159,SHEEP,2,3,1,3,,,,,,,,,,
160,SHELF,2,3,2,3,,,,,,,,,,
161,SHRINK,2,3,1,2,,,,,,,,,,
162,SIGN,2,3,1,2,,,,,,,,,,
163,SKIP,2,3,1,2,,,,,,,,,,
164,SMOKE,1,3,1,3,,,,,,,,,,
165,SNOB,1,3,1,3,,,,,,,,,,
166,SOAP,2,3,1,3,,,,,,,,,,
167,SOAR,1,3,1,3,,,,,,,,,,
168,SOUL,1,3,1,2,,,,,,,,,,
169,SOUP,2,3,2,3,,,,,,,,,,
170,SPACE,2,3,2,3,,,,,,,,,,
171,SPELL,1,3,1,3,,,,,,,,,,
172,SPY,1,3,1,2,,,,,,,,,,
173,SQUASH,2,3,1,2,,,,,,,,,,
174,STALK,1,3,1,2,,,,,,,,,,
175,STEEL,1,3,2,3,,,,,,,,,,
176,STORE,2,3,1,2,,,,,,,,,,
177,STRAIGHT,1,3,1,3,,,,,,,,,,
178,STRETCH,1,3,2,3,,,,,,,,,,
179,STRIKE,1,3,2,3,,,,,,,,,,
180,TAB,2,3,1,3,,,,,,,,,,
181,TAP,1,3,2,3,,,,,,,,,,
182,TART,1,3,2,3,,,,,,,,,,
183,TICK,1,3,2,3,,,,,,,,,,
